verb,tense,tags,conjugation
sehen,Präsens,Sieh!,sehe;siehst;sieht;sehen;seht;sehen
sehen,Präteritum,Sieh!,sah;sahst;sah;sahen;saht;sahen
sehen,Perfekt,Sieh!,habe gesehen;hast gesehen;hat gesehen;haben gesehen;habt gesehen;haben gesehen
lesen,Präsens,Lies!,lese;liest;liest;lesen;lest;lesen
lesen,Präteritum,Lies!,las;lasest;las;lasen;last;lasen;las;last;las;lasen;last;lasen
lesen,Perfekt,Lies!,habe gelesen;hast gelesen;hat gelesen;haben gelesen;habt gelesen;haben gelesenhaben,Präsens,,habe;hast;hat;haben;habt;haben
haben,Präsens,Habe!,habe;hast;hat;haben;habt;haben
haben,Präteritum,Habe!,hatte;hattest;hatte;hatten;hattet;hatten
haben,Perfekt,Habe!,habe gehabt;hast gehabt;hat gehabt;haben gehabt;habt gehabt;haben gehabt
werden,Präsens,Werde!,werde;wirst;wird;werden;werdet;werden
werden,Präteritum,Werde!,wurde;wurdest;wurde;wurden;wurdet;wurden
werden,Perfekt,Werde!,bin geworden;bist geworden;ist geworden;sind geworden;seid geworden;sind geworden
sollen,Präsens,,soll;sollst;soll;sollen;sollt;sollen
sollen,Präteritum,,sollte;solltest;sollte;sollten;solltet;sollten
sollen,Perfekt,,habe gesollt;hast gesollt;hat gesollt;haben gesollt;habt gesollt;haben gesollt
möchten,Präsens,,mag;magst;mag;mögen;mögt;mögen
möchten,Präteritum,,mochte;mochtest;mochte;mochten;mochtet;mochten
möchten,Perfekt,,habe gemocht;hast gemocht;hat gemocht;haben gemocht;habt gemocht;haben gemocht
wollen,Präsens,,will;willst;will;wollen;wollt;wollen
wollen,Präteritum,,wollte;wolltest;wollte;wollten;wolltet;wollten
wollen,Perfekt,,habe gewollt;hast gewollt;hat gewollt;haben gewollt;habt gewollt;haben gewollt
dürfen,Präsens,,darf;darfst;darf;dürfen;dürft;dürfen
dürfen,Präteritum,,durfte;durftest;durfte;durften;durftet;durften
dürfen,Perfekt,,habe gedurft;hast gedurft;hat gedurft;haben gedurft;habt gedurft;haben gedurft
mögen,Präsens,,mag;magst;mag;mögen;mögt;mögen
mögen,Präteritum,,mochte;mochtest;mochte;mochten;mochtet;mochten
mögen,Perfekt,,habe gemocht;hast gemocht;hat gemocht;haben gemocht;habt gemocht;haben gemocht
betreten,Präsens,Betritt!,betrete;betrittst;betritt;betreten;betretet;betreten
betreten,Präteritum,Betritt!,betrat;betratst;betrat;betraten;betratet;betraten
betreten,Perfekt,Betritt!,bin betreten;bist betreten;ist betreten;sind betreten;seid betreten;sind betreten
berichten,Präsens,Berichte!,berichte;berichtest;berichtet;berichten;berichtet;berichten
berichten,Präteritum,Berichte!,berichtete;berichtetest;berichtete;berichteten;berichtetet;berichteten
