mode,da,word,translation
v,,erzählen,mondani
v,,zeigen,mutat
n,r,Besprechungsraum,tárgyalóterem
v,,empfehlen,ajánl
v,,holen,hoz
n,r,Mantel,kabát
n,e,Gewohnheit,szokás
a,,fest,határozott
v,,verpassen,kihagy
v,,aufpassen,vigyáz
v,,verabreden sich,találkozót megbeszél
adv,,eigentlich,valójában
v,,können vorstellen,el tudja képzelni
adv,,deshalb,emiatt
v,,bejahen,megerősít
v,,wegnehmen,elvisz
v,,leihen,kölcsönöz
n,e,Gegend,terület
adv,,in wirklichkeit,a valóságban
adv,,tatsächlich,ténylegesen
a,,spannend,izgalmas
adv,,denselben,ugyanaz
adv,,ungefähr,hozzávetőlegesen
adv,,durchschnittlich,átlagosan
s,,bei knapp,alatta
v,,drehen,fordít
a,,besonders,különleges
adv,,immer wieder,mindig
adv,,danach,ezután
n,e,Erfolgsgeschichte,sikertörténet
n,e,Folge,következmény
n,r,Fall,ügy
a,,brummig,zsémbes
n,e,Abwechslung,változatosság
adv,,inzwischen,addig is
adv,,sodass,szóval
a,,bestehende,létező
