translation,mode,da,word
Turkey,n,r,Türkei
Hello,,,Hallo
Good morning!,,,Guten Morgen!
Good morning!,,,Guten Tag!
Good evening!,,,Guten Abend!
Good night!,,,Gute Nacht!
Have a nice day!,,,Schönen Tag!
Bye!,,,Auf Wiedersehen!
Bye!,,,Tschüß!
My name is ...,,,Ich heiße ...
My name is ...,,,Mein Name ist ...
Who?,s,,Wer?
How?,s,,Wie?
lady,,e,Frau
ladies,,e,Frauen
gentleman,,r,Herr
gentlemen,,e,Herren
given name,,r,Vorname
given names,,e,Vornamen
family name,,r,Familienname
family names,,e,Familiennamen
Where from?,,,Woher?
country,,s,Land
countries,,e,Länder
Germany,,,Deutschland
Austria,,,Österreich
Switzerland,,e,Schweiz
How are you doing?,,,Wie geht's?
I'm doing fine. ,,,Es mir geht sehr gut.
I'm doing OK. ,,,Es geht.
I'm not doing fine. ,,,Es geht nicht so gut.
further,,,weiter
alphabet,,s,Alphabet
alphabets,,e,Alphabete
to spell,v,,buchstabieren
too,,,auch
thanks,,,danke
yes,,,ja
no,,,nein
very,a,,sehr
Who are you?,,,Wer bist du?
I come from ...,,,Ich komme aus ...
My name is ...,s,,Mein Name ist ...
nickname,n,r,Spitzname
Exactly.,s,,Genau.
I grew up in Berlin.,s,,Ich bin in Berlin aufgewachsen. 
I work as a ...,s,,Ich arbeite als ...
single,a,,single
single,a,,ledig
single,a,,alleinstehend
book,n,s,Buch
bird,n,r,Vogel
cheese,n,r,Käse
train,n,r,Zug
train,n,e,Bahn
tram,n,e,Straßenbahn
nickname,n,r,Name
first name,n,r,Vorname
surname,n,r,Nachname
still,o,-,doch
really,o,-,wirklich
to work,v,-,arbeiten
family status,n,r,Familienstand
married,a,-,verheiratet
age,n,s,Alter
foreign language,n,e,Fremdsprache
teacher(female),n,e,Lehrerin
teacher(male),n,r,Lehrer
daughter,n,s,Mädchen
boy,n,r,Junge
year,n,s,Jahr
reality,n,e,Wirklichkeit
married,,,verheiratet
I am 25 years old.,,,Ich bin 25 Jahre alt. 
to read,v,,lesen
to travel,v,,reisen
almost,,,fast
since,,,seit
How long have you been in Germany?,,,Wie lange bist du schon in Deutschland?
month,n,r,Monat
What do you work?,s,,Was arbeitest du?
What are your Hobbys?,s,,Was sindt deine Hobbys?
to swim,v,,schwimmen
to cycle,v,,radfahren
bycicle,n,s,Fahrrad
I like cycling.,s,,Ich mag Fahrrad fahren.
to cycle,v,,Fahrrad fahren
to drive,v,,fahren
but,,,aber
right,a,,richtig
employer,n,r,Arbeitgeber
training,n,e,Ausbildung
trainings,n,e,Ausbildungen
occupation,n,r,Beruf
occupations,n,e,Berufe
college,n,e,Hochschule
colleges,n,e,Hochschulen
university,n,e,Universität
universities,n,e,Universitäten
job,n,r,Job
internship,n,s,Praktikum
internships,n,e,Praktika
school,n,e,Schule
schools,n,e,Schulen
job,n,e,Stelle
jobs,n,e,Stellen
to work as ...,s,,arbeiten als
to work at ...,s,,arbeiten bei
unemployed,a,,arbeitslos
by profession,s,,von Beruf
What?,s,,Was?
architect,n,r,Architekt
architects,n,r,Architekten
doctor,n,r,Arzt
doctors,n,e,Ärzte
engineer,n,r,Ingenieur
engineers,n,e,Ingenieure
hairdresser,n,r,Friseur
hairdressers,n,e,Friseure
journalist,n,r,Journalist
journalists,n,e,Journalisten
waiter,n,r,Kellner
nurse,n,e,Krankenschwester
mechanic engineer,n,r,Mechatroniker
student,n,r,Student
students,n,e,Studenten
actor,n,r,Schauspieler
student,n,r,Schüler
assistant,n,r,Sekretär
seller,n,r,Verkäufer
age,n,s,Alter
kid,n,s,Kind
kids,n,e,Kinder
to live,v,,leben
to live alone,v,,allein leben
to live together,v,,zusammenleben
to live in,v,,wohnen in
divorced,a,,geschieden
Where?,s,,Wo?
to believe,v,,glauben
to have,v,,haben
to make, v,,machen
true,a,,richtig
correct,a,,richtig
false,a,,falsch
incorrect,a,,falsch
I don't work.,s,,Ich arbeite nicht
We live in Malaga.,s,,Wir leben in Malaga.
Words,n,e,Wörter
Which?,s,,Welche?
answer,n,e,Antwort
to cross,v,,kreuzen
to speak,v,,sprechen
How many?,s,,Wie viele?
a little,s,,ein bisschen
parents,n,e,Eltern
picture,n,s,Bild
pictures,n,e,Bilder
lamp,n,e,Lampe
couch,n,s,Sofa
couches,n,e,Sofas
chair,n,r,Stuhl
chairs,n,e,Stühler
table,n,r,Tisch
closet,n,r,Schrank
armchair,n,r,Sessel
bed,n,s,Bett
beds,n,e,Betten
rug,n,r,Teppich
hard,a,,schlecht
klein,a,,small
furniture,n,e,Möbel
large,a,,groß
ugly,a,,hässlich
short,a,,kurz
long,a,,lang
light,a,,leicht
beautiful,a,,schön
heavy,a,,schwer
to cost,v,,kosten
cheap,a,,günstig
cheap,a,,billig
expensive,a,,teuer
help,n,e,Hilfe
to need,v,,brauchen
to find,v,,finden
to say,v,,sagen
only,s,,nur
expression,n,r,Ausdruck
modified,a,,geändert
listed,a,,aufgeführten
billing,n,e,Abrechnung
invoice,n,e,Rechnung
approved,a,,genehmigt
status,v,,stehen auf
shipping date,n,s,Versanddatum
settlement date,n,s,Abrechnungsdatum
pronunciation,n,e,Aussprache
See you soon!,s,e,Bis bald!
Have a nice day!,s,,Einen schönen Tag noch!
I don't like winters in Berlin.,s,,Ich mag Berlin Winterwetter nicht.
What?,s,,Was?
Where?,s,,Wo?
Where to?,s,,Wohin?
How?,s,,Wie?
For what?,s,,Wofür?
Why?,s,,Warum?
Who?,s,,Wer?
How many?,s,,Wie viel?
From where?,s,,Woher?
possibility,n,e,Möglichkeit
society,n,e,Gesellschaft
time,n,e,Zeit
football,n,r,Fußball
photo,n,s,Foto
similarities,n,e,Gemeinsamkeiten
differences,n,e,Unterschiede
cat,n,e,Katze
cat (male),n,r,Kater
food,n,s,Essen
Something else?,s,,Noch etwas?
to like,v,,mögen
solution,n,e,Lösung
exceptions,n,e,Ausnahmen
Nice to meet you.,s,,Es ist shön dich kennen zu lernen.
You idiot!,s,,Du pfosten!
Read aloud!,s,,Lies mal vor!
How nice!,s,,Wie schön!
Iran,n,r,Iran
My pleasure.,s,,Freut mich.
straight,a,,gerade
