mode,da,word,translation
v,,rechnen,to calculate
v,,sagen,to say
v,,fragen,to ask
n,e,Frage,question
v,,antworten,to answer
n,e,Antwort,answer
v,,finden,to find
v,,warten,to wait
a,,glücklich,lucky
a,,unsicher,not sure
n,r,Klang,sound
a,,klasse,superb
a,,toll,awesome
n,e,Saite,string
a,,letzte,last
v,,erklären,to explain
adj,,gestern,yesterday
v,,kennen,to know
v,,wissen,to know something
s,,"Ja, gerne.","Yes, please."
adv,,später,later
v,,zeichen,to draw
v,,gewinnen,to win
a,,schnell,fast
a,,langsam,slow
v,,wiederholen,repeat
v,,holen,to get
v,,bleiben,to stay
s,,Ich telefoniere jede Woche mit meine Mutter.,I call my mom every week.
s,,Ich frage nach dem Weg.,I ask for directions.
s,,Ich frage nach der Uhrzeit.,I ask the time.
v,,lachen,to laugh
v,,lächeln,to smile
